"loc_id","bucket","running_total","sum","avg","max","min","province_state","country_region"
27,"2020-02-03 00:00:00+00",91,"43","6.1428571428571429",12,2,"Tianjin","Mainland China"
27,"2020-02-10 00:00:00+00",124,"33","4.7142857142857143",11,1,"Tianjin","Mainland China"
28,"2020-01-20 00:00:00+00",0,"0","0.00000000000000000000",0,0,"Tibet","Mainland China"
28,"2020-01-27 00:00:00+00",1,"1","0.14285714285714285714",1,0,"Tibet","Mainland China"
28,"2020-02-03 00:00:00+00",1,"0","0.00000000000000000000",0,0,"Tibet","Mainland China"
28,"2020-02-10 00:00:00+00",1,"0","0.00000000000000000000",0,0,"Tibet","Mainland China"
29,"2020-01-20 00:00:00+00",4,"4","0.80000000000000000000",2,0,"Xinjiang","Mainland China"
29,"2020-01-27 00:00:00+00",21,"17","2.4285714285714286",5,1,"Xinjiang","Mainland China"
29,"2020-02-03 00:00:00+00",45,"24","3.4285714285714286",5,3,"Xinjiang","Mainland China"
29,"2020-02-10 00:00:00+00",71,"26","3.7142857142857143",6,1,"Xinjiang","Mainland China"
30,"2020-01-20 00:00:00+00",16,"16","3.2000000000000000",6,1,"Yunnan","Mainland China"
30,"2020-01-27 00:00:00+00",105,"89","12.7142857142857143",18,10,"Yunnan","Mainland China"
30,"2020-02-03 00:00:00+00",141,"36","5.1428571428571429",12,0,"Yunnan","Mainland China"
30,"2020-02-10 00:00:00+00",171,"30","4.2857142857142857",8,1,"Yunnan","Mainland China"
31,"2020-01-20 00:00:00+00",104,"104","20.8000000000000000",42,10,"Zhejiang","Mainland China"
31,"2020-01-27 00:00:00+00",661,"557","79.5714285714285714",132,24,"Zhejiang","Mainland China"
31,"2020-02-03 00:00:00+00",1075,"414","59.1428571428571429",105,27,"Zhejiang","Mainland China"
31,"2020-02-10 00:00:00+00",1167,"92","13.1428571428571429",25,5,"Zhejiang","Mainland China"
